#Name,Range,Min Damage,Max Damage,Weight,Level Required,Gold,Wood,Ore,Plasma Rock,Port
Ruby Ray,2000,3000,5000,2000,100,500000,0,250,20,RARE
Impact Cannon MK2,1000,2000,2900,1400,100,250000,0,150,4,Imperial City Port
Napalm Catapult,950,1500,3250,1300,90,140000,200,200,4,Imperial City Port
Eclipse Canon,1350,500,3750,1200,90,120000,1000,10,4,Imperial City Port
Hammer of War,1000,2000,3000,1250,85,75000,40,70,4,RARE
Yamato Prototype,1000,1600,2150,1000,80,90000,10,100,3,Imperial City Port
Bola Spinner,1200,1000,2400,1000,80,50000,70,60,3,Imperial City Port
Volcano Cannon,900,1300,1750,800,70,35000,200,50,2,Imperial City Port
Aqueous Canon,1500,1200,1600,600,65,40000,50,50,3,RARE
Shuriken Cannon,1000,900,1250,500,60,12500,100,35,2,Imperial City Port
Prototype Cannon,1100,700,950,400,50,10000,0,20,1,Imperial City Port
Siege Cannon,1600,350,850,300,40,7500,20,35,0,RARE
Impact Cannon,1000,500,750,300,40,7500,20,10,0,Imperial City Port
Imperial Cannon,1000,450,550,250,30,5000,0,10,0,Imperial City Port
Harpoon Cannon,1200,400,450,250,30,5000,50,0,0,Imperial City Port
Fireball Cannon,1000,300,400,200,20,3500,30,0,0,Imperial City Port
Long Barrel,1100,250,400,200,20,3500,0,5,0,Imperial City Port
Pie Launcher,1500,100,200,50,20,500,0,0,0,Imperial City Port
Advanced Cannon,1100,200,250,125,15,3500,10,0,0,RARE
Bombard,1000,150,250,150,15,2500,10,0,0,Imperial City Port
Heavy Cannon,950,80,120,150,10,1500,5,0,0,Imperial City Port
Standard Cannon,1000,50,100,100,5,1000,0,0,0,Imperial City Port
Steam Cannon,900,35,50,80,1,800,0,0,0,Imperial City Port
