#Name,Speed,HP,Capacity,Weight,Level Required,Gold,Wood,Ore,Plasma Rock,Port
Dream Catcher,50,1500,0,500,100,750000,500,25,0,Imperial City Port
Chimera Crest,-50,1400,0,600,96,250000,100,50,4,Imperial City Port
Raven Crest,40,800,0,500,86,150000,50,40,3,Imperial City Port
Lion Crest,-30,1200,0,300,76,90000,50,30,2,Imperial City Port
Jade Lion Crest,25,800,0,200,66,60000,60,40,1,Imperial City Port
Guardian Totem,-25,1000,0,120,60,25000,100,20,1,Imperial City Port
El Toro Crest,80,350,0,100,50,50000,0,0,1,RARE
Black Skull Crest,15,750,0,110,45,10000,50,20,0,Imperial City Port
Duelist Crest,-10,400,0,90,28,5000,35,0,0,Imperial City Port
Shield Crest,-10,300,0,80,25,3500,10,0,0,Imperial City Port
War Ram Figurehead,10,200,0,70,22,3000,20,5,0,RARE
Buckler Crest,-5,300,0,60,17,2500,10,5,0,RARE
Skull Figurehead,5,150,0,50,15,1500,5,0,0,Imperial City Port
Ram Figurehead,5,100,0,30,8,1000,0,0,0,Imperial City Port
Pumpkin Crest,5,100,0,30,5,1000,10,0,1,RARE
Christmas Crest,5,100,0,30,5,1000,10,0,1,RARE
