#Name,Speed,HP,Capacity,Weight,Level Required,Gold,Wood,Ore,Plasma Rock,Port
Hyper Thrusters,250,0,0,500,100,250000,0,100,5,Imperial City Port
Emergency Chutes,-700,0,0,200,92,300000,50,50,0,Imperial City Port
Mach Blades,190,0,0,450,88,90000,0,100,5,Imperial City Port
Reverse Thrusters,-600,0,0,340,82,40000,0,100,2,Imperial City Port
Air Blades MK2,170,0,0,325,78,60000,0,50,4,Imperial City Port
Air Blades MK1,150,0,0,250,68,25000,0,35,1,Imperial City Port
Base Propellers MK1,125,0,0,225,58,17500,0,25,1,Imperial City Port
Air Brakes MK2,-500,0,0,125,50,15000,500,0,0,Imperial City Port
Gyroscope,80,0,0,170,48,10000,0,0,1,Imperial City Port
Outriggers,75,0,0,150,45,7500,50,10,0,RARE
Mass Anchor,-350,0,0,130,42,7500,0,0,0,Imperial City Port
Stabilizer Fins,50,0,0,110,38,5000,30,0,0,Imperial City Port
Air Brakes,-200,0,0,90,32,5000,0,0,0,RARE
Slaver Chains,-180,0,0,80,30,3000,0,30,1,RARE
Winged Oars,35,0,0,70,28,2500,20,0,0,Imperial City Port
Heavy Anchor,-100,0,0,80,23,3500,0,0,0,Imperial City Port
Guide Rudder,25,0,0,60,18,2000,15,0,0,Imperial City Port
Light Anchor,-50,0,0,50,10,1500,0,0,0,Imperial City Port
Oak Paddles,15,0,0,40,7,750,10,0,0,Imperial City Port
Christmas Paddle,20,0,0,30,2,1000,10,0,1,RARE
Wooden Paddles,5,0,0,20,1,100,0,0,0,Imperial City Port
