#Name,Range,Min Damage,Max Damage,Weight,Level Required,Gold,Wood,Ore,Plasma Rock,Port
Immolater MK2,450,1500,3000,850,96,150000,300,90,2,Imperial City Port
Assault Gun MK2,550,1800,2000,650,92,100000,250,80,2,Imperial City Port
Ripper Gun,400,1500,2000,500,86,70000,200,80,2,Imperial City Port
Spread Needle,800,500,3500,500,82,55000,140,70,2,RARE
Spikes Buster,650,1400,1800,450,76,30000,200,50,2,Imperial City Port
Shredder Gun,600,1200,1600,375,70,20000,100,50,1,Imperial City Port
Avenger Autocannon,450,1000,1500,325,65,15000,75,25,1,Imperial City Port
Equalizer Minigun,650,1300,1700,300,63,20000,0,30,2,RARE
Type-X Subcannon,600,850,1350,275,60,12500,75,20,1,Imperial City Port
Immolator,400,750,1250,250,55,10000,50,5,1,Imperial City Port
Dardanelles Gun,800,800,805,300,50,8000,0,100,0,RARE
Solid Bazooka,500,650,850,230,50,8000,25,15,0,Imperial City Port
Bolter Cluster,550,500,750,200,45,5000,10,10,0,Imperial City Port
Gun Buster,600,500,600,170,35,3500,10,35,0,RARE
Imperial Repeater,500,450,600,175,35,4000,0,10,0,Imperial City Port
Type-G Subcannon,600,400,550,175,35,4000,0,8,0,Imperial City Port
Autocannon,400,350,400,150,25,3500,10,4,0,Imperial City Port
Anchor Launcher,450,350,450,150,25,3200,0,5,0,Imperial City Port
Heavy Vulcan,450,300,450,130,20,3000,30,0,0,RARE
Type-D Subcannon,600,250,400,135,20,2800,20,0,0,Imperial City Port
Assault Gun,500,200,250,100,15,2500,0,0,0,Imperial City Port
Pumpkin Gun,1500,120,220,50,15,0,0,0,0,RARE
8 Inch Gun,600,200,300,120,15,2000,10,0,0,Imperial City Port
5 Inch Gun,500,150,250,100,11,1500,5,0,0,Imperial City Port
Flak Gun,400,70,150,90,7,1200,5,0,0,Imperial City Port
Gatling Gun,350,60,120,70,3,800,0,0,0,Imperial City Port
Heavy Machine Gun,500,25,50,30,1,300,0,0,0,Imperial City Port
